Popup_AutoFixFail_Ok,en-UK,ru-RU,zh-CN
Popup_PermissionsFailed_Title,Permissions Failed,Ошибка в правах доступа,权限失败
Popup_PermissionsFailed_Description,"Sorry you don’t seem to have the correct permission for this action, please visit your account settings or contact your company admin.","К сожалению у вас нет разрешения на это действие. Пожалуйста, посетите настройки учетной записи или обратитесь к администратору компании.",抱歉，您似乎没有此操作的恰当权限，请访问您的账户设置或联系您的公司管理员。
Popup_PermissionsFailed_Ok,Account,Аккаунт,账户
Popup_PermissionsFailed_Cancel,Cancel,Отмена,取消
,,,
Popup_MsbuildWarning_Title,MSBuild version,MSBuild версия,MSBuild 版本
Popup_MsbuildWarning_Description,MSBuild 15 or higher is required. Please make sure you have a proper path to MSBuild binary configured in Unity Playworks Plugin UI.,"Требуется MSBuild версии 15 или выше. Пожалуйста, убедитесь, что у вас указан правильный путь к MSBuild.exe в окне Unity Playworks Plugin.",需要 MSBuild 15 或更高版本。请确保您在 Unity Playworks Plugin UI 中配置了正确的 MSBuild 二进制文件路径。
Popup_MsbuildWarning_Ok,Open,Открыть,打开
Popup_MsbuildWarning_Cancel,Cancel,Отмена,取消
,,,
Popup_MsbuildError_Title,MSBuild failed,Ошибка MSBuild,MSBuild 失败
Popup_MsbuildError_Description,MSBuild failed to be invoked. Please make sure you have a proper path to MSBuild binary configured in Unity Playworks Plugin UI.,"Не удалось вызвать MSBuild. Пожалуйста, убедитесь, что у вас указан правильный путь к MSBuild.exe в окне Unity Playworks Plugin.",无法调用 MSBuild。请确保您有在 Unity Playworks Plugin UI 中配置的 MSBuild 二进制文件的恰当路径。
Popup_MsbuildError_Ok,Open,Открыть,打开
Popup_MsbuildError_Cancel,Cancel,Отмена,取消
,,,
Popup_LoginSSO_Title,Cannot sign in to Unity Playworks,Не получается войти в Unity Playworks,无法登录 Unity Playworks
Popup_LoginSSO_Description,Please log in with your Unity Playworks login and password.,"Пожалуйста, войдите используя ваш Unity Playworks логин и пароль.",请使用您的 Unity Playworks 账户和密码登录。
Popup_LoginSSO_DescriptionNetwork,Please ensure you have a network connection.,"Пожалуйста, убедитесь, что у вас есть подключение к сети.",请确保您有网络连接。
Popup_LoginSSO_Ok,Open,Открыть,打开
Popup_LoginSSO_Cancel,Cancel,Отмена,取消
,,,
Popup_PackageBundle_Title,Package bundling failed,Ошибка в сборке пакетов,包捆绑失败
Popup_PackageBundle_Description,"Package failed to bundle. Please check the luna.log file, or review the documentation.","Пакет не удалось собрать. Пожалуйста, проверьте luna.log файл или ознакомьтесь с документацией.",包捆绑失败。请检查 luna.log 文件，或查看文档。
Popup_PackageBundle_Ok,Show Log,Показать логи,显示日志
Popup_PackageBundle_Cancel,Cancel,Отмена,取消
Popup_PackageBundle_Alt,Documentation,Документация,文档
,,,
Popup_PackageUpload_Title,Upload failed,Загрузка не удалась,上传失败
Popup_PackageUpload_Description,"Please try building Creative Library build manually and upload it via Web UI. If the issue persists, please contact support.","Пожалуйста, пересоберите проект под платформу Creative Library и загрузите его с помощью веб-интерфейса. Если проблема не будет устранена, пожалуйста, обратитесь в службу поддержки.",请尝试手动构建 Creative Library，并通过 Web UI 上传。如果问题仍然存在，请联系支持人员。
Popup_PackageUpload_Ok,Open,Открыть,打开
Popup_PackageUpload_Cancel,Cancel,Отмена,取消
,,,
Popup_UnknownError_Title,Unknown error,Неизвестная ошибка,未知错误
Popup_UnknownError_Description,"Build process has exited with an Unknown Error. Please check Project Diagnostics, the luna.log file, or review the documentation.","Процесс сборки завершился с неизвестной ошибкой. Пожалуйста, проверьте вкладку Диагностики проекта, luna.log файл или ознакомьтесь с документацией.","构建过程已退出，出现未知错误。请检查项目诊断, luna.log 文件，或查看文档。"
Popup_UnknownError_Ok,Show Log,Показать логи,显示日志
Popup_UnknownError_Cancel,Cancel,Отмена,取消
Popup_UnknownError_Alt,Documentation,Документация,文档
,,,
Popup_DevelopBuildFinished_Title,Build Finished,Сборка завершена,构建完成
Popup_DevelopBuildFinished_Description,Would you like to open the playable in the browser?,Хотите открыть проект в браузере?,您想在浏览器中打开可试玩广告吗？
Popup_DevelopBuildFinished_Ok,Open in browser,Открыть в браузере,在浏览器中打开
Popup_DevelopBuildFinished_Cancel,Cancel,Отмена,取消
Popup_DevelopBuildFinished_Alt,Open build folder,Открыть папку с билдом,打开构建文件夹
,,,
Popup_AssetsProcess_Title,Assets processing failed,Ошибка пост-обработки ассетов,资源处理失败
Popup_AssetsProcess_Description,"Assets failed to be processed. Please check the luna.log file, or review the documentation.","Ассеты не удалось обработать. Пожалуйста, проверьте luna.log файл или ознакомьтесь с документацией.",资源处理失败请检查 luna.log 文件，或查看文档。
Popup_AssetsProcess_Ok,Show Log,Показать логи,显示日志
Popup_AssetsProcess_Cancel,Cancel,Отмена,取消
Popup_AssetsProcess_Alt,Documentation,Документация,文档
,,,
Popup_EngineCompilation_Title,Engine compilation failed,Компиляция движка не удалась,引擎编译失败
Popup_EngineCompilation_Description,Engine failed to compile. Please fix all errors and try to rebuild.,"Движок не удалось скомпилировать. Пожалуйста, исправьте все ошибки и попробуйте пересобрать билд.",引擎编译失败。请修复所有错误，然后尝试重建。
Popup_EngineCompilation_Ok,Show Report,Показать отчет,显示报告
Popup_EngineCompilation_Cancel,Cancel,Отмена,取消
Popup_EngineCompilation_Alt,Documentation,Документация,文档
,,,
Popup_ScenePath_Title,Package failed to bundle,Пакет не удалось собрать,包捆绑失败
Popup_ScenePath_Description,Startup scene is not set or is excluded from the build. Please check Startup scene option to fix this error.,"Стартовая сцена не установлена ​​или исключена из билда. Пожалуйста, проверьте стартовый вариант сцены, чтобы исправить эту ошибку.",启动场景未设置或被排除。请检查启动场景选项以修复此错误。
Popup_ScenePath_Ok,Open,Открыть,打开
Popup_ScenePath_Cancel,Cancel,Отмена,取消
,,,
Popup_UnityBinError_Title,Unity binary error,Ошибка исполняемого файла Unity,Unity 二进制错误
Popup_UnityBinError_Description,Failed to build Playable with Unity binaries. Try setting 'Use MSBuild' under 'Advanced settings' and specifying a path to MSBuild binary,Не удалось собрать Playable. Попробуйте установить «Use MSBuild» в разделе «Дополнительные настройки» и указать путь к файлу MSBuild ,未能用 Unity 二进制文件构建 Playable。尝试在“Advanced Settings (高级设置) ”下设置“Use MSBuild (使用 MSBuild)”，并指定 MSBuild 二进制路径
Popup_UnityBinError_Ok,Open,Открыть,打开
Popup_UnityBinError_Cancel,Cancel,Отмена,取消
,,,
Popup_AssetsBundle_Title,Assets bundling failed,Сборка ассетов не удалась,资源捆绑失败
Popup_AssetsBundle_Description,"Assets failed to bundle. Please check the luna.log file, or review the documentation.","Ассеты не удалось собрать. Пожалуйста, проверьте luna.log файл или ознакомьтесь с документацией.",资源捆绑失败。请检查 luna.log 文件，或查看文档。
Popup_AssetsBundle_Ok,Show Log,Показать логи,显示日志
Popup_AssetsBundle_Cancel,Cancel,Отмена,取消
Popup_AssetsBundle_Alt,Documentation,Документация,文档
,,,
Popup_AssetsExport_Title,Assets exporting failed,Экспорт ассетов не удался,资源导出失败
Popup_AssetsExport_Description,Assets failed to be exported properly. Please check Expert console and fix errors.,"Ассеты не удалось экспортировать должным образом. Пожалуйста, проверьте Эксперт консоль и исправьте ошибки.",资源未能正确导出。请检查 Expert 控制台并修复错误。
Popup_AssetsExport_Ok,Open,Открыть,打开
Popup_AssetsExport_Cancel,Cancel,Отмена,取消
,,,
Popup_Authentication_Title,Authentication Failed,Ошибка аутентификации,身份验证失败
Popup_Authentication_Description,"We were unable to authenticate you, please sign in again","Мы не смогли проверить вашу аутентификацию, пожалуйста, войдите в систему снова",我们无法验证您的身份，请重新登录
